"id","lon","lat"
"503","-73.98751968","40.73827428"
"420","-73.96968902","40.68764484"
"314","-73.99215922","40.69424674"
"364","-73.96023854","40.68900443"
"315","-74.00670227","40.70355377"
"298","-73.9796772","40.68683208"
"266","-73.97574813","40.72368361"
"537","-73.98409214","40.74025878"
"259","-74.01234218","40.70122128"
"2021","-73.98859651","40.75929124"
"2023","-73.97031366","40.75968085"
"354","-73.96223558","40.69363137"
"481","-73.96264403","40.71260486"
"339","-73.97422494","40.72580614"
"303","-73.99949601","40.72362738"
"262","-73.97372989","40.69178232"
"328","-74.00965965","40.72405549"
"250","-73.99565293","40.72456089"
"2006","-73.97634151","40.76590936"
"501","-73.97121214","40.744219"
"390","-73.9842844","40.69221589"
"383","-74.000271","40.735238"
"313","-73.96751037","40.69610226"
"408","-73.99400398","40.71076228"
"514","-74.00277668","40.76087502"
"243","-73.978474","40.687979"
"258","-73.96885458","40.68940747"
"484","-73.98014437","40.75500254"
"441","-73.967416","40.756014"
"144","-73.98068914","40.69839895"
"341","-73.97628939","40.71782143"
"473","-73.9919254","40.72110063"
"174","-73.97738662","40.7381765"
"83","-73.97632328","40.68382604"
"2012","-73.976806","40.739445"
"267","-73.98765428","40.75097711"
"244","-73.96536851","40.69196035"
"2022","-73.95920622","40.75849116"
"282","-73.96834101","40.70827295"
"2000","-73.98940236","40.70255088"
"218","-73.98707105","40.69028437"
"353","-73.97431458","40.68539567"
"300","-73.990214","40.728145"
"455","-73.96905301","40.75001986"
"275","-73.96563307","40.68650065"
"150","-73.98085795","40.7208736"
"421","-73.97129668","40.69573398"
"399","-73.9647628","40.68851534"
"137","-73.972924","40.761628"
"358","-74.00711384","40.73291553"
"526","-73.98490707","40.74765947"
"331","-73.99193043","40.71173107"
"359","-73.97498696","40.75510267"
"431","-73.98263429","40.68864636"
"302","-73.97793172","40.72082834"
"397","-73.96922273","40.68415748"
"3002","-74.015756","40.711512"
"274","-73.976682","40.68691865"
"343","-73.96986848","40.69794"
"278","-73.98476437","40.69766564"
"538","-73.97787642","40.75795248"
"463","-74.00443172","40.74206539"
"232","-73.99014892","40.69597683"
"344","-73.95380904","40.6851443"
